Date : 2026-01-17 13:55:45
Directory : c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay
Total : 136 files,  3489 codes, 133 comments, 989 blanks, all 4611 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
| src\test\java                                                                                                                                                                                     |         10 |        257 |          2 |         52 |        311 |
| src\test\java\com                                                                                                                                                                                 |         10 |        257 |          2 |         52 |        311 |
| src\test\java\com\github                                                                                                                                                                          |         10 |        257 |          2 |         52 |        311 |
| src\test\java\com\github\sentinel                                                                                                                                                                 |         10 |        257 |          2 |         52 |        311 |
| src\test\java\com\github\sentinel\pay                                                                                                                                                             |         10 |        257 |          2 |         52 |        311 |
| src\test\java\com\github\sentinel\pay (Files)                                                                                                                                                     |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\github\sentinel\pay\domain                                                                                                                                                      |          9 |        248 |          2 |         47 |        297 |
| src\test\java\com\github\sentinel\pay\domain\fraudrRules                                                                                                                                          |          4 |        172 |          0 |         24 |        196 |
| src\test\java\com\github\sentinel\pay\domain\riskProfile                                                                                                                                          |          1 |         36 |          2 |          8 |         46 |
| src\test\java\com\github\sentinel\pay\domain\riskScore                                                                                                                                            |          2 |          6 |          0 |          4 |         10 |
| src\test\java\com\github\sentinel\pay\domain\transaction                                                                                                                                          |          2 |         34 |          0 |         11 |         45 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                                                                                                          | language        | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\Frontend.md                                                                                                                | Markdown        |        134 |          0 |        126 |        260 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\README.md                                                                                                                  | Markdown        |         44 |          0 |         28 |         72 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\build.gradle                                                                                                               | Gradle          |         39 |          1 |          7 |         47 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\frontend-improvements.md                                                                                                   | Markdown        |         71 |          0 |         68 |        139 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\gradle\wrapper\gradle-wrapper.properties                                                                                   | Java Properties |          7 |          0 |          1 |          8 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\gradlew.bat                                                                                                                | Batch           |         41 |         32 |         22 |         95 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\settings.gradle                                                                                                            | Gradle          |          1 |          0 |          1 |          2 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\Application.java                                                                     | Java            |          9 |          0 |          5 |         14 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\dto\dashboard\DashBoardDto.java                                          | Java            |         15 |          0 |          4 |         19 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\dto\decision\FraudDecisionDto.java                                       | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\dto\incidents\IncidentResponseDto.java                                   | Java            |         19 |          0 |          3 |         22 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\dto\incidents\incidentRequestDto.java                                    | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\dto\riskProfile\RiskProfileDto.java                                      | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\dto\transaction\TransactionRequestDto.java                               | Java            |         19 |          0 |          6 |         25 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\exceptions\TransactionAmountBelowZeroException.java                      | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\implementation\EvaluateTransactionForFraudInteractor.java                | Java            |         65 |         13 |         11 |         89 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\implementation\ListFraudIncidentsByAccountInteractor.java                | Java            |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\implementation\OpenFraudIncidentInteractor.java                          | Java            |         30 |          0 |          8 |         38 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\implementation\ResolveFraudIncidentInteractor.java                       | Java            |         40 |          2 |         10 |         52 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\implementation\UpdateAccountRiskProfileInteractor.java                   | Java            |         24 |          3 |          6 |         33 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\EvaluateTransactionForFraudUseCase.java                         | Java            |          8 |          0 |          4 |         12 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\GetDashBoardDataUseCase.java                                    | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\GetFraudIncidentByIdUseCase.java                                | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\GetIncidentDetailsByIncidentIdUseCase.java                      | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\GetRiskProfileByAccountIdUseCase.java                           | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\ListAllFraudIncidentsUseCase.java                               | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\ListFraudIncidentsByAccountUseCase.java                         | Java            |          7 |          0 |          4 |         11 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\ListFraudIncidentsByIncidentIdUseCase.java                      | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\OpenFraudIncidentUseCase.java                                   | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\ResolveFraudIncidentUseCase.java                                | Java            |          9 |          0 |          4 |         13 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\application\services\UpdateAccountRiskProfileUseCase.java                            | Java            |          7 |          0 |          4 |         11 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\README.md                                                                     | Markdown        |         17 |          0 |         10 |         27 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\AccountRiskProfile.java                    | Java            |         55 |          1 |         13 |         69 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\CurrencyProfile.java                       | Java            |         50 |          0 |          9 |         59 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\IncidentStatistics.java                    | Java            |          9 |          0 |          4 |         13 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\LocationProfile.java                       | Java            |         42 |          0 |         12 |         54 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\MonetaryProfile.java                       | Java            |         53 |          1 |          9 |         63 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\RiskLevelPolicy.java                       | Java            |         28 |          0 |         14 |         42 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\RiskProfileId.java                         | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\VelocityProfile.java                       | Java            |         43 |          0 |         10 |         53 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated\AverageAmount.java              | Java            |         19 |          0 |          5 |         24 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated\AverageCurrencyTransaction.java | Java            |         19 |          0 |          7 |         26 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated\AverageRiskScore.java           | Java            |         15 |          0 |          3 |         18 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated\DailyTransactionCount.java      | Java            |         16 |          0 |          4 |         20 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated\TransactionActivity.java        | Java            |         34 |          0 |          9 |         43 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\AccountRiskProfileAggregate\deprecated\UsualTransactionLocation.java   | Java            |         22 |          0 |          4 |         26 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\FraudIncidentAggregate\FraudIncident.java                              | Java            |         36 |          0 |          7 |         43 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\FraudIncidentAggregate\FraudIncidentId.java                            | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\FraudIncidentAggregate\FraudIncidentStatus.java                        | Java            |          8 |          0 |          2 |         10 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\FraudIncidentAggregate\FraudIncidentStatusPolicy.java                  | Java            |         12 |          0 |          3 |         15 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudDecision\FraudDecision.java                                       | Java            |         25 |          0 |          6 |         31 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudDecision\FraudDecisionId.java                                     | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudDecision\FraudDecisionPolicy.java                                 | Java            |         13 |          0 |          4 |         17 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudDecision\FraudDecisionType.java                                   | Java            |          6 |          0 |          2 |          8 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\AccessOutsideOfOpeningHoursFraudRule.java                   | Java            |         10 |          4 |          7 |         21 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\FraudRule.java                                              | Java            |          7 |          0 |          3 |         10 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\HighRiskAndRemoteTransactionFraudRule.java                  | Java            |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\TransactionAmountFraudRule.java                             | Java            |         14 |          9 |          6 |         29 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\TransactionVelocityFraudRule.java                           | Java            |         17 |          5 |          6 |         28 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\UnusualCurrencyFraudRule.java                               | Java            |         13 |          0 |          3 |         16 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\fraudRules\UnusualLocationFraudRule.java                               | Java            |         14 |          0 |          3 |         17 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\risk\RiskContribution.java                                             | Java            |         13 |          3 |          5 |         21 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\risk\RiskLevel.java                                                    | Java            |          7 |          5 |          3 |         15 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\risk\RiskScore.java                                                    | Java            |         25 |         11 |          8 |         44 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\risk\RiskSignal.java                                                   | Java            |          6 |          0 |          2 |          8 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\risk\RiskType.java                                                     | Java            |          7 |          0 |          2 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\risk\RiskWeightPolicy.java                                             | Java            |         13 |          0 |          5 |         18 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\shared\AccountId.java                                                  | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\shared\Currency.java                                                   | Java            |          8 |          0 |          4 |         12 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\shared\Location.java                                                   | Java            |          9 |          0 |          2 |         11 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\transactionAggregate\Channel.java                                      | Java            |          3 |          0 |          2 |          5 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\transactionAggregate\Money.java                                        | Java            |         18 |          0 |          7 |         25 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\transactionAggregate\Transaction.java                                  | Java            |         25 |          0 |          9 |         34 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\transactionAggregate\TransactionId.java                                | Java            |          6 |          0 |          3 |          9 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\entity\transactionAggregate\TransactionType.java                              | Java            |         31 |          8 |         11 |         50 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\repository\FraudDecisionRepository.java                                       | Java            |         10 |          0 |          5 |         15 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\repository\FraudIncidentRepository.java                                       | Java            |         12 |          0 |          8 |         20 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\repository\RiskProfileRepository.java                                         | Java            |         14 |          0 |          7 |         21 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\domain\repository\TransactionRepository.java                                         | Java            |         10 |          0 |          5 |         15 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\in\web\controller\AccountController.java                              | Java            |         24 |          2 |          3 |         29 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\in\web\controller\DashboardController.java                            | Java            |         15 |          1 |          3 |         19 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\in\web\controller\IncidentController.java                             | Java            |         24 |          5 |          4 |         33 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\in\web\controller\TransactionController.java                          | Java            |         58 |          8 |         11 |         77 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\EntityModels\AccountRiskProfileEntity.java            | Java            |         27 |          2 |          5 |         34 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\EntityModels\CurrencyProfileEntity.java               | Java            |         19 |          0 |          6 |         25 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\EntityModels\FraudDecisionEntity.java                 | Java            |         27 |          0 |          3 |         30 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\EntityModels\FraudIncidentEntity.java                 | Java            |         28 |          0 |          4 |         32 |
| c:\Users\Administrator\Desktop\Projects\JAVA\sentinel.pay\sentinel.pay\src\main\java\com\github\sentinel\pay\infrastructure\out\persistence\EntityModels\LocationProfileEntity.java               | Java            |         19 |          0 |          5 |         24 |
